1645090599.064111, -20
1645090601.064111, -20
1645090603.064111, -19
1645090605.064111, -20
1645090607.064111, -21
1645090609.064111, -19
1645090611.064111, -21
1645090613.064111, -18
1645090615.064111, -22
1645090617.064111, -20
1645090619.064111, -20
1645090621.064111, -20
1645090623.064111, -19
1645090625.064111, -22
1645090627.064111, -19
1645090629.064111, -18
1645090631.064111, -22
1645090633.064111, -23
1645090635.064111, -18
1645090637.064111, -19
1645090639.064111, -21
1645090641.064111, -21
1645090643.064111, -20
1645090645.064111, -21
1645090647.064111, -18
1645090649.064111, -21
1645090651.064111, -22
1645090653.064111, -22
1645090655.064111, -20
1645090657.064111, -21
1645090659.064111, -24
1645090661.064111, -20
1645090663.064111, -23
1645090665.064111, -20
1645090667.064111, -20
1645090669.064111, -22
1645090671.064111, -24
1645090673.064111, -19
1645090675.064111, -20
1645090677.064111, -17
1645090679.064111, -19
1645090681.064111, -18
1645090683.064111, -20
1645090685.064111, -20
1645090687.064111, -19
1645090689.064111, -21
1645090691.064111, -22
1645090693.064111, -20
1645090695.064111, -20
1645090697.064111, -19
1645090699.064111, -18
1645090701.064111, -19
1645090703.064111, -21
1645090705.064111, -18
1645090707.064111, -18
1645090709.064111, -20
1645090711.064111, -20
1645090713.064111, -21
1645090715.064111, -20
1645090717.064111, -23
1645090719.064111, -18
1645090721.064111, -21
1645090723.064111, -20
1645090725.064111, -20
1645090727.064111, -23
1645090729.064111, -21
1645090731.064111, -17
1645090733.064111, -22
1645090735.064111, -21
1645090737.064111, -17
1645090739.064111, -20
1645090741.064111, -20
1645090743.064111, -20
1645090745.064111, -20
1645090747.064111, -24
1645090749.064111, -22
1645090751.064111, -20
1645090753.064111, -21
1645090755.064111, -19
1645090757.064111, -22
1645090759.064111, -16
1645090761.064111, -19
1645090763.064111, -21
1645090765.064111, -20
1645090767.064111, -17
1645090769.064111, -22
1645090771.064111, -21
1645090773.064111, -23
1645090775.064111, -19
1645090777.064111, -20
1645090779.064111, -20
1645090781.064111, -22
1645090783.064111, -21
1645090785.064111, -17
1645090787.064111, -20
1645090789.064111, -19
1645090791.064111, -17
1645090793.064111, -22
1645090795.064111, -17
1645090797.064111, -20
